,Job Title,Company Name,Location,Sector,City,State
140,"Senior Analyst, Data Science","Roku
3.9","New York, NY",Information Technology,New York,New York
141,Senior Data Scientist,"Oliver Wyman
4.4","New York, NY",Business Services,New York,New York
142,Machine Learning Researcher / Data Scientist,"J Harlan Group, LLC","New York, NY",-1,New York,New York
143,Applied Scientist,"Amazon
3.9","New York, NY",Information Technology,New York,New York
144,Quantitative Researcher - Portfolio Modeling,Edward Daniels Group,"New York, NY",Information Technology,New York,New York
145,Data Scientist,"InvenTech Info
4.8","Jersey City, NJ",Information Technology,Jersey City,New Jersey
146,Data Analyst,"Whip Media Group
5.0","New York, NY",-1,New York,New York
147,Investment & Data Science Intern,"JAG Capital
4.0","New York, NY",Manufacturing,New York,New York
148,Data Scientist(s)/Machine Learning Engineer,"Blue Horizon Tek Solutions
5.0","New York, NY",Business Services,New York,New York
149,CCB F&BM - Quantitative Modeler / Data Scientist - Marketing - Associate,"JPMorgan Chase Bank, N.A.
3.9","New York, NY",Finance,New York,New York
150,Data Scientist,"NPD
3.8","Port Washington, NY",Business Services,Port Washington,New York
151,Data Science & Machine Learning Research Intern,Altversity,"New York, NY",-1,New York,New York
152,"Sr. Data Scientist/Data Engineer, AI (Tech Delivery Lead) – New York, NY/Dallas, TX","Fujitsu
3.3","New York, NY",-1,New York,New York
153,Data Scientist,"1-800-Flowers
2.8","New York, NY",Business Services,New York,New York
154,"Senior Data Scientist, Real World EvidenceNY","Flatiron Health
4.0","New York, NY",Information Technology,New York,New York
155,Data Scientist - Leading Quant Hedge Fund,Edward Daniels Group,"New York, NY",Information Technology,New York,New York
156,Data Scientist II,"MediaMath
3.6","New York, NY",Business Services,New York,New York
157,Data Scientist,The Organic Recruiter,"New York, NY",-1,New York,New York
158,Data Scientist,"Via Transportation
3.7","New York, NY",Information Technology,New York,New York
159,Data Scientist,Biotenico Research and Development Company,"New York, NY",-1,New York,New York
160,"Principal Associate, Data Scientist - Small Business Card, Entity Resolution","Capital One
3.9","New York, NY",Finance,New York,New York
161,Principal Data Scientist,"Gallup
4.2","New York, NY",Business Services,New York,New York
162,Data Scientist,"Building Service 32BJ Benefit Funds
1.9","New York, NY",Health Care,New York,New York
163,"Lead Data Scientist, R&D Team","Marsh
3.5","New York, NY",Insurance,New York,New York
164,Data Analyst,"Undertone
3.8","New York, NY",Business Services,New York,New York
165,Business Intelligence Analyst,"Simple Health
4.4","New York, NY",Information Technology,New York,New York
166,Product Data Analyst,"Galileo
5.0","New York, NY",Health Care,New York,New York
167,Data Analyst,"City of New York
3.4","New York, NY",Government,New York,New York
168,Data Scientist,"Catholic Health Services of Long Island
3.1","Rockville Centre, NY",Health Care,Rockville Centre,New York
169,"Lead Data Scientist, R&D Team","Marsh & McLennan Companies, Inc.
3.4","New York, NY",Insurance,New York,New York
170,Data Analyst,"Pozent
3.5","New York, NY",-1,New York,New York
171,Senior Data Scientist,Entera,"New York, NY",Real Estate,New York,New York
172,Sr. Data Scientist,"Mediaocean
4.0","New York, NY",Information Technology,New York,New York
173,Senior Data Scientist,"The Trade Desk
3.4","New York, NY",Information Technology,New York,New York
174,Data Science Intern,The Buttonwood Tree,"New York, NY",-1,New York,New York
175,Senior Data Scientist,"NYC Health + Hospitals
3.6","New York, NY",Health Care,New York,New York
176,NLP Machine Learning Engineer,"Samsung NEXT
3.0","New York, NY",Information Technology,New York,New York
177,Senior Data Scientist,"Landis
5.0","New York, NY",-1,New York,New York
178,Senior Data Scientist,"NewtonX
4.1","New York, NY",Information Technology,New York,New York
